ID	CATEGORY	CONTEXT	ENGLISH_SOURCE	RUSSIAN_EFFECTIVE	ORIGIN
SF-RU-0062	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%x save	%x СОХРАНИТЬ	proofread common catalogue
SF-RU-0063	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%x full	%x НА ВЕСЬ ЭКРАН	proofread common catalogue
SF-RU-0064	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%x equip	%x ВЫБРАТЬ	proofread common catalogue
SF-RU-0065	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%x accept	%x ПРИНЯТЬ	proofread common catalogue
SF-RU-0066	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%x next	%x ДАЛЕЕ	proofread common catalogue
SF-RU-0067	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	%x select	%x ВЫБРАТЬ	proofread common catalogue
SF-RU-0068	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	none	НЕТ	proofread common catalogue
SF-RU-0069	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Mission Objectives:	ЦЕЛИ МИССИИ:	proofread common catalogue
SF-RU-0070	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Mission Objectives	ЦЕЛИ МИССИИ	proofread common catalogue
SF-RU-0071	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Completed Objectives:	ВЫПОЛНЕННЫЕ ЦЕЛИ:	proofread common catalogue
SF-RU-0072	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Failed Objectives:	ПРОВАЛЕННЫЕ ЦЕЛИ:	proofread common catalogue
SF-RU-0073	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Mission Parameters:	УСЛОВИЯ МИССИИ:	proofread common catalogue
SF-RU-0074	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Mission Parameters	УСЛОВИЯ МИССИИ	proofread common catalogue
SF-RU-0075	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Failed Parameters:	НАРУШЕННЫЕ УСЛОВИЯ:	proofread common catalogue
SF-RU-0076	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Data Available	ДОСТУПНЫ ДАННЫЕ	proofread common catalogue
SF-RU-0077	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Location Unknown	МЕСТОПОЛОЖЕНИЕ НЕИЗВЕСТНО	proofread common catalogue
SF-RU-0078	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Custom	ПОЛЬЗОВАТЕЛЬСКАЯ	proofread common catalogue
SF-RU-0079	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Alternate	АЛЬТЕРНАТИВНАЯ	proofread common catalogue
SF-RU-0080	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Standard	СТАНДАРТНАЯ	proofread common catalogue
SF-RU-0081	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Configuration	НАСТРОЙКИ	proofread common catalogue
SF-RU-0082	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Select Mission - All	ВСЕ МИССИИ	proofread common catalogue
SF-RU-0083	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	No Reconnaissance	НЕТ ДАННЫХ КАРТЫ	proofread common catalogue
SF-RU-0084	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	No briefing data available	НЕТ ДАННЫХ БРИФИНГА	proofread common catalogue
SF-RU-0085	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	No weapon equipped	ОРУЖИЕ НЕ ВЫБРАНО	proofread common catalogue
SF-RU-0086	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Press new button for action	НАЖМИТЕ НОВУЮ КНОПКУ	proofread common catalogue
SF-RU-0087	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Adjust game lighting levels by moving bar up or down	ИЗМЕНИТЕ ЯРКОСТЬ КНОПКАМИ ВВЕРХ И ВНИЗ	proofread common catalogue
SF-RU-0088	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Use directional buttons to center the image.	ПЕРЕМЕЩАЙТЕ ИЗОБРАЖЕНИЕ КНОПКАМИ НАПРАВЛЕНИЯ.	proofread common catalogue
SF-RU-0089	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Brightness	ЯРКОСТЬ	proofread common catalogue
SF-RU-0090	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Active	АКТИВНЫЕ	proofread common catalogue
SF-RU-0091	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Completed	ВЫПОЛНЕНО	proofread common catalogue
SF-RU-0092	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Sound FX	ЗВУКОВЫЕ ЭФФЕКТЫ	proofread common catalogue
SF-RU-0093	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Music	МУЗЫКА	proofread common catalogue
SF-RU-0094	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Voice-over	РЕЧЬ	proofread common catalogue
SF-RU-0095	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Preset config	СХЕМА	proofread common catalogue
SF-RU-0096	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Invert Aim	ИНВЕРСИЯ ПРИЦЕЛА	proofread common catalogue
SF-RU-0097	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Vibration	ВИБРАЦИЯ	proofread common catalogue
SF-RU-0098	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	yes	ДА	proofread common catalogue
SF-RU-0099	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	no	НЕТ	proofread common catalogue
SF-RU-0100	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Equipped	ВЫБРАНО	proofread common catalogue
SF-RU-0101	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Selected	ВЫБРАНО	proofread common catalogue
SF-RU-0102	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Power	МОЩНОСТЬ	proofread common catalogue
SF-RU-0103	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Accuracy	ТОЧНОСТЬ	proofread common catalogue
SF-RU-0104	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Fire Rate	ТЕМП ОГНЯ	proofread common catalogue
SF-RU-0105	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Rate	ТЕМП ОГНЯ	proofread common catalogue
SF-RU-0106	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Damage	УРОН	proofread common catalogue
SF-RU-0107	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Ammo	ПАТРОНЫ	proofread common catalogue
SF-RU-0108	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Ammo: 	ПАТРОНЫ: 	proofread common catalogue
SF-RU-0109	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Clip Size	МАГАЗИН	proofread common catalogue
SF-RU-0110	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Max Rounds	БОЕЗАПАС	proofread common catalogue
SF-RU-0111	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	N/A	Н/Д	proofread common catalogue
SF-RU-0112	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Infinite	БЕСКОНЕЧНО	proofread common catalogue
SF-RU-0113	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Mission Failed	МИССИЯ ПРОВАЛЕНА	proofread common catalogue
SF-RU-0114	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Mission Parameter Failed	УСЛОВИЕ МИССИИ НАРУШЕНО	proofread common catalogue
SF-RU-0115	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Mission Objective Failed	ЦЕЛЬ МИССИИ НЕ ВЫПОЛНЕНА	proofread common catalogue
SF-RU-0116	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	MISSION FAILED	МИССИЯ ПРОВАЛЕНА	proofread common catalogue
SF-RU-0117	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	FIRE OR ACTION TO RETRY	НАЖМИТЕ ОГОНЬ ИЛИ ДЕЙСТВИЕ	proofread common catalogue
SF-RU-0118	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Objective	ЦЕЛЬ	proofread common catalogue
SF-RU-0119	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Parameter	УСЛОВИЕ	proofread common catalogue
SF-RU-0120	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Complete	ВЫПОЛНЕНО	proofread common catalogue
SF-RU-0121	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Press START to see objectives	НАЖМИТЕ %t ДЛЯ ПРОСМОТРА ЦЕЛЕЙ	proofread common catalogue
SF-RU-0122	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Playing on HARD difficulty	СЛОЖНОСТЬ: ВЫСОКАЯ	proofread common catalogue
SF-RU-0123	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Target Lock	ЗАХВАТ ЦЕЛИ	proofread common catalogue
SF-RU-0124	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Head Shot	ВЫСТРЕЛ В ГОЛОВУ	proofread common catalogue
SF-RU-0125	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Checkpoint	КОНТРОЛЬНАЯ ТОЧКА	proofread common catalogue
SF-RU-0126	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Briefing Updated	БРИФИНГ ОБНОВЛЁН	proofread common catalogue
SF-RU-0127	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Objective Added	ДОБАВЛЕНА ЦЕЛЬ	proofread common catalogue
SF-RU-0128	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Objective Complete	ЦЕЛЬ ВЫПОЛНЕНА	proofread common catalogue
SF-RU-0129	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Objectives Incomplete	ЦЕЛИ НЕ ВЫПОЛНЕНЫ	proofread common catalogue
SF-RU-0130	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Level alerted	ПОДНЯТА ТРЕВОГА	proofread common catalogue
SF-RU-0131	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Electronically Locked	ЭЛЕКТРОННЫЙ ЗАМОК	proofread common catalogue
SF-RU-0132	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Lock Code Required	ТРЕБУЕТСЯ КОД ДОСТУПА	proofread common catalogue
SF-RU-0133	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Elevator Call Switch	КНОПКА ВЫЗОВА ЛИФТА	proofread common catalogue
SF-RU-0134	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Power Switch	ВЫКЛЮЧАТЕЛЬ ПИТАНИЯ	proofread common catalogue
SF-RU-0135	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	No Target Available	НЕТ ДОСТУПНЫХ ЦЕЛЕЙ	proofread common catalogue
SF-RU-0136	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Body Armor	БРОНЕЖИЛЕТ	proofread common catalogue
SF-RU-0137	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Georgia Street	ДЖОРДЖИЯ-СТРИТ	proofread common catalogue
SF-RU-0138	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Destroyed subway	РАЗРУШЕННОЕ МЕТРО	proofread common catalogue
SF-RU-0139	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Main subway line	ГЛАВНАЯ ЛИНИЯ МЕТРО	proofread common catalogue
SF-RU-0140	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Washington Park	ВАШИНГТОН-ПАРК	proofread common catalogue
SF-RU-0141	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Freedom Memorial	МЕМОРИАЛ СВОБОДЫ	proofread common catalogue
SF-RU-0142	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Expo Center Reception	ПРИЁМНАЯ ЭКСПОЦЕНТРА	proofread common catalogue
SF-RU-0143	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Expo Center Dinorama	ДИНОРАМА ЭКСПОЦЕНТРА	proofread common catalogue
SF-RU-0144	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Rhoemer's Base	БАЗА РОМЕРА	proofread common catalogue
SF-RU-0145	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Base Bunker	БУНКЕР БАЗЫ	proofread common catalogue
SF-RU-0146	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Base Tower	БАШНЯ БАЗЫ	proofread common catalogue
SF-RU-0147	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Base Escape	ПОБЕГ С БАЗЫ	proofread common catalogue
SF-RU-0148	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Rhoemer's Stronghold	КРЕПОСТЬ РОМЕРА	proofread common catalogue
SF-RU-0149	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Stronghold lower level	НИЖНИЙ УРОВЕНЬ КРЕПОСТИ	proofread common catalogue
SF-RU-0150	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Stronghold catacombs	КАТАКОМБЫ КРЕПОСТИ	proofread common catalogue
SF-RU-0151	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	PHARCOM warehouses	СКЛАДЫ ФАРКОМ	proofread common catalogue
SF-RU-0152	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	PHARCOM elite guards	ЭЛИТНАЯ ОХРАНА ФАРКОМ	proofread common catalogue
SF-RU-0153	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Warehouse 76	СКЛАД 76	proofread common catalogue
SF-RU-0154	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Silo access tunnels	ТОННЕЛИ К РАКЕТНОЙ ШАХТЕ	proofread common catalogue
SF-RU-0155	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Tunnel blackout	ОБЕСТОЧЕННЫЕ ТОННЕЛИ	proofread common catalogue
SF-RU-0156	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Missile Silo	РАКЕТНАЯ ШАХТА	proofread common catalogue
SF-RU-0157	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	C4 Explosives	ВЗРЫВЧАТКА С4	proofread gameplay catalogue
SF-RU-0158	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Flak Jacket	БРОНЕЖИЛЕТ	proofread common catalogue
SF-RU-0159	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Viral Scanner	ДЕТЕКТОР ВИРУСА	proofread common catalogue
SF-RU-0160	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Flashlight	ФОНАРЬ	proofread gameplay catalogue
SF-RU-0161	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Gas Grenade	ГАЗОВАЯ ГРАНАТА	proofread gameplay catalogue
SF-RU-0162	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Sniper rifle	СНАЙПЕРСКАЯ ВИНТОВКА	proofread common catalogue
SF-RU-0163	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Nightvision rifle	ВИНТОВКА С НОЧНЫМ ПРИЦЕЛОМ	proofread common catalogue
SF-RU-0164	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Combat Shotgun	БОЕВОЙ ДРОБОВИК	proofread gameplay catalogue
SF-RU-0165	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Silenced 9mm	9-ММ ПИСТОЛЕТ С ГЛУШИТЕЛЕМ	proofread gameplay catalogue
SF-RU-0166	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	ARMOR	БРОНЯ	proofread gameplay catalogue
SF-RU-0167	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	HEALTH	ЗДОРОВЬЕ	proofread gameplay catalogue
SF-RU-0168	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	DANGER	ОПАСНОСТЬ	proofread gameplay catalogue
SF-RU-0169	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	TARGET	ЦЕЛЬ	proofread gameplay catalogue
SF-RU-0170	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	HEAD SHOT	В ГОЛОВУ	proofread gameplay catalogue
SF-RU-0171	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	HEADSHOT	В ГОЛОВУ	proofread gameplay catalogue
SF-RU-0172	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	BOMB	БОМБА	proofread gameplay catalogue
SF-RU-0173	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	health	ЗДОРОВЬЕ	proofread gameplay catalogue
SF-RU-0174	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	armor	БРОНЯ	proofread gameplay catalogue
SF-RU-0175	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	danger	ОПАСНОСТЬ	proofread gameplay catalogue
SF-RU-0176	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	target	ЦЕЛЬ	proofread gameplay catalogue
SF-RU-0177	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	head	ГОЛОВА	proofread gameplay catalogue
SF-RU-0178	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	weapon	ОРУЖИЕ	proofread gameplay catalogue
SF-RU-0179	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	hand	РУКА	proofread gameplay catalogue
SF-RU-0180	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	body	ТЕЛО	proofread gameplay catalogue
SF-RU-0181	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	limb	КОНЕЧНОСТЬ	proofread gameplay catalogue
SF-RU-0182	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Switch	ПЕРЕКЛЮЧАТЕЛЬ	proofread gameplay catalogue
SF-RU-0183	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Bomb	БОМБА	proofread gameplay catalogue
SF-RU-0184	STATIC_UI_GAMEPLAY	menus, HUD, prompts and notifications	Locked	ЗАКРЫТО	proofread gameplay catalogue
